character,position,baxter,emc,lmc,nw,nw_late
㐁,透開一覃去,thomH,t̙ʰəmh,tʰɑmH,tʰɑmH,tʰɑmH
㐁,透開四添去,themH,t̙ʰemh,tʰjɛmH,tʰjɛmH,tʰjɛmH
㐄,溪合二麻上,khwaeX,qʰwaˤʔ,qʰwʕaX,qʰwʕaX,qʰwʕaX
㐄,溪合二麻去,khwaeH,qʰwaˤh,qʰwʕaH,qʰwʕaH,qʰwʕaH
㐆,影開三C殷上,'j+nX,ʔɨnʔ,ʔɨnX,ʔɨnX,ʔɨnX
㐆,影開三C微平,'j+j,ʔɨj,ʔɨi,ʔɨi,ʔɨi
㐭,來開三侵上,limX,limʔ,lɨimX,lɨimX,lɨimX
㐱,章開三真上,tsyinX,tɕinʔ,tɕɨnX,tɕɨnX,tɕɨnX
㐲,定開一泰去,dajH,d̙ɑjh,dɑjH,d̥ɦɑjH,tʰɑjH
㐸,溪開三C嚴去,khjaemH,kʰɨ̯əmh,kʰɨɛmH,kʰɨɛmH,kʰɨɛmH
㑁,知合三真入,trwit,ʈjwit,ʈwɨt,ʈwɨr,ʈwɨr
㑃,影開二肴去,'aewH,ʔ̙aˤwh,ʔˤawH,ʔˤawH,ʔˤawH
㑉,心三東入,sjuwk,sjuk,sjuk,sjuɣ,sjuɣ
㑗,書開三真平,syin,ɕin,ɕɨn,ɕɨn,ɕɨn
㑙,端開四添入,tep,t̙ep,tjɛp,tjɛβ,tjɛβ
㑛,心一東入,suwk,s̙uk,suk,suɣ,suɣ
㑛,書三鍾入,syowk,ɕok,ɕuk,ɕuɣ,ɕuɣ
㑜,以開三祭去,yejH,jejh,jɛjH,jɛjH,jiH
㑜,徹開三祭去,trhjejH,ʈʰjejh,ʈʰɨɛjH,ʈʰɨɛjH,ʈʰɨiH
㑞,以開三蒸去,yingH,jɨŋh,jɨŋH,jɨŋH,jɨŋH
㑟,幫二庚上,paengX,p̙aˤŋʔ,pʕɛŋX,pʕɛĩX,pʕɛĩX
㑥,以開三支去,yeH,jieh,jiH,jiH,jiH
㑦,來開四齊去,lejH,l̙ejh,ljɛjH,ljɛjH,ljiH
㑮,匣合一魂平,hwon,ʁwən,ʁwən,ʁ̥ɦwən,χwən
㑮,疑合一魂平,ngwon,ɴwən,ɴwən,ɴɢwən,ɴɢwən
㑳,崇三尤去,dzrjuwH,dʐɨ̯uh,ʐʕəwH,ʐ̥ɦʕəwH,ʂʕəwH
㑳,莊合三虞平,tsrju,tʂɨ̯o,tʂʕu,tʂʕu,tʂʕu
㑳,孃開二咸入,nreap,ɳeˤp,ɳʕap,nɻʕaβ,nɻʕaβ
㑵,從開三真入,dzit,dzit,dzjit,d̥z̥ɦjir,tsʰjir
㑻,明二山入,meat,m̙eˤt,mʕat,mbʕar,mbʕar
㑿,崇開二肴上,dzraewX,dʐaˤwʔ,ʐʕawH,ʐ̥ɦʕawH,ʂʕawH
㒄,日開三仙上,nyenX,ɲenʔ,ɲɛnX,ʑɛnX,ʑɛnX
㒄,書開三仙上,syenX,ɕenʔ,ɕɛnX,ɕɛnX,ɕɛnX
㒅,溪開四齊上,khejX,qʰejʔ,kʰjɛjX,kʰjɛjX,kʰjiX
㒇,明三C虞上,mjuX,mɨ̯oʔ,ɱuX,ʋuX,ʋuX
㒈,曉開二銜去,xaemH,χaˤmh,χʕamH,χʕamH,χʕamH
㒊,生開三侵入,srip,ʂɨ̯ip,ʂʕip,ʂʕiβ,ʂʕiβ
㒋,心開三支平,sje,sie,sji,sə,sə
