character,position,baxter,emc
㐁,透開一覃去,thomH,t̙ʰəmh
㐁,透開四添去,themH,t̙ʰemh
㐄,溪合二麻上,khwaeX,qʰwaˤʔ
㐄,溪合二麻去,khwaeH,qʰwaˤh
㐆,影開三C殷上,'j+nX,ʔɨnʔ
㐆,影開三C微平,'j+j,ʔɨj
㐭,來開三侵上,limX,limʔ
㐱,章開三真上,tsyinX,tɕinʔ
㐲,定開一泰去,dajH,d̙ɑjh
㐸,溪開三C嚴去,khjaemH,kʰɨ̯əmh
㑁,知合三真入,trwit,ʈjwit
㑃,影開二肴去,'aewH,ʔ̙aˤwh
㑉,心三東入,sjuwk,sjuk
㑗,書開三真平,syin,ɕin
㑙,端開四添入,tep,t̙ep
㑛,心一東入,suwk,s̙uk
㑛,書三鍾入,syowk,ɕok
㑜,以開三祭去,yejH,jejh
㑜,徹開三祭去,trhjejH,ʈʰjejh
㑞,以開三蒸去,yingH,jɨŋh
㑟,幫二庚上,paengX,p̙aˤŋʔ
㑥,以開三支去,yeH,jieh
㑦,來開四齊去,lejH,l̙ejh
㑮,匣合一魂平,hwon,ʁwən
㑮,疑合一魂平,ngwon,ɴwən
㑳,崇三尤去,dzrjuwH,dʐɨ̯uh
㑳,莊合三虞平,tsrju,tʂɨ̯o
㑳,孃開二咸入,nreap,ɳeˤp
㑵,從開三真入,dzit,dzit
㑻,明二山入,meat,m̙eˤt
㑿,崇開二肴上,dzraewX,dʐaˤwʔ
㒄,日開三仙上,nyenX,ɲenʔ
㒄,書開三仙上,syenX,ɕenʔ
㒅,溪開四齊上,khejX,qʰejʔ
㒇,明三C虞上,mjuX,mɨ̯oʔ
㒈,曉開二銜去,xaemH,χaˤmh
㒊,生開三侵入,srip,ʂɨ̯ip
㒋,心開三支平,sje,sie
㒌,羣合三A清平,gjwieng,ɡjwaŋ
㒓,透開一寒入,that,t̙ʰɑt
㒔,定一東入,duwk,d̙uk
㒔,常三鍾入,dzyowk,dʑok
㒚,影合一魂上,'wonX,ʔ̙wənʔ
㒚,影開三C殷去,'j+nH,ʔɨnh
㒝,明三C元入,mjot,mɨ̯ət
㒝,明四先入,met,m̙et
㒟,泥開四蕭上,newX,n̙ewʔ
㒠,匣開二皆去,heajH,ʁeˤjh
㒥,滂三C東平,phjuwng,pʰɨ̯uŋ
㒰,從合三仙平,dzjwen,dzjwen
㒳,來開三陽上,ljangX,ljɑŋʔ
㒴,見合一魂入,kwot,qwət
㒸,邪合三脂去,zwijH,zjwih
㒹,端開四先平,ten,t̙en
㒼,明一寒平,man,m̙ɑn
㒽,溪合三B仙平,khjwen,kʰwɨ̯en
㒾,以開三支去,yeH,jieh
㒾,書開三支去,syeH,ɕieh
㓃,知開二麻去,traeH,ʈaˤh
㓃,端一模去,tuH,t̙oh
㓄,知開三侵去,trimH,ʈimh
㓊,定一東去,duwngH,d̙uŋh
㓖,幫三A真入,pjit,pjit
㓚,見一東平,kuwng,quŋ
㓝,匣開四青平,heng,ʁeŋ
㓞,溪開二山入,kheat,qʰeˤt
㓠,端開四添上,temX,t̙emʔ
㓢,來開一唐入,lak,l̙ɑk
㓣,溪開二咸入,kheap,qʰeˤp
㓤,溪開二山入,kheat,qʰeˤt
㓱,定一侯平,duw,d̙u
㓳,端開四齊平,tej,t̙ej
㓷,疑開三B祭去,ngjejH,ŋɨ̯ejh
㓹,清合三祭去,tshjwejH,tsʰjwejh
㓺,見開三C元平,kjon,kɨ̯ən
㓻,見開一唐平,kang,qɑŋ
㓼,初開三臻入,tsrhit,tʂʰɨ̯it
㓽,崇三東去,dzrjuwngH,dʐɨ̯uŋh
㓽,崇三東平,dzrjuwng,dʐɨ̯uŋ
㔄,心三鍾入,sjowk,sjok
㔆,從開一覃上,dzomX,d̙z̙əmʔ
㔊,章開三仙上,tsyenX,tɕenʔ
㔋,匣開二銜上,haemX,ʁaˤmʔ
㔋,見開二銜去,kaemH,qaˤmh
㔋,見開二銜平,kaem,qaˤm
㔋,來開一談去,lamH,l̙ɑmh
㔌,從一侯去,dzuwH,d̙z̙uh
㔌,從一侯平,dzuw,d̙z̙u
㔍,初合二刪入,tsrhwaet,tʂʰwaˤt
㔍,初合三仙入,tsrhjwet,tʂʰwɨ̯et
㔎,心開三仙入,sjet,sjet
㔎,疑開三B真入,ngit,ŋɨ̯it
㔏,來開四青入,lek,l̙ek
㔒,匣合四齊平,hwej,ʁwej
㔓,見開三C元上,kjonX,kɨ̯ənʔ
㔗,並三C微去,bj+jH,bwɨjh
㔙,幫二庚平,paeng,p̙aˤŋ
㔝,來開三陽上,ljangX,ljɑŋʔ
㔞,溪合二皆平,khweaj,qʰweˤj
㔠,曉開二刪入,xaet,χaˤt
㔡,幫四先入,pet,p̙et
㔢,精合三仙入,tsjwet,tsjwet
㔣,來合一灰去,lwojH,l̙wəjh
㔣,來合一灰平,lwoj,l̙wəj
㔥,並二佳上,beaX,b̙eˤʔ
㔩,影開一覃入,'op,ʔ̙əp
㔪,來一模上,luX,l̙oʔ
㔮,泥開一歌平,na,n̙ɑ
㔯,邪合三仙平,zjwen,zjwen
㔴,以開三蒸入,yik,jɨk
㔶,見一東去,kuwngH,quŋh
㔶,見開一覃上,komX,qəmʔ
㔸,透開四齊平,thej,t̙ʰej
㔹,來開一登入,lok,l̙ək
㔻,滂三B脂平,phij,pʰɨ̯i
㕀,以三尤平,yuw,ju
㕆,匣一模上,huX,ʁoʔ
㕆,端一模上,tuX,t̙oʔ
㕇,來開一覃入,lop,l̙əp
㕈,影合一灰去,'wojH,ʔ̙wəjh
㕈,影開一咍上,'ojX,ʔ̙əjʔ
㕈,影開三C微上,'j+jX,ʔɨjʔ
㕊,滂三C虞平,phju,pʰɨ̯o
㕋,羣開三B侵平,gim,ɡɨ̯im
㕎,溪開一談入,khap,qʰɑp
㕒,疑合三B支平,ngjwe,ŋwɨ̯ie
㕗,以三尤上,yuwX,juʔ
㕙,清合三真平,tshwin,tsʰjwin
㕙,精合三真去,tswinH,tsjwinh
㕚,莊開二肴上,tsraewX,tʂaˤwʔ
㕛,云三C尤上,hjuwX,wɨ̯uʔ
㕞,生合三仙入,srjwet,ʂwɨ̯et
㕟,溪合二皆去,khweajH,qʰweˤjh
㕡,曉開一唐入,xak,χɑk
㕢,匣開二夬去,haejH,ʁaˤjh
㕢,見開一咍去,kojH,qəjh
㕣,以合三仙上,ywenX,jwenʔ
㕦,匣合二麻去,hwaeH,ʁwaˤh
㕧,曉開三B脂去,xijH,xɨ̯ih
㕬,章三鍾平,tsyowng,tɕoŋ
㕭,影開二肴平,'aew,ʔ̙aˤw
㕮,並三C虞上,bjuX,bɨ̯oʔ
㕮,幫三C虞上,pjuX,pɨ̯oʔ
㕯,日合三仙入,nywet,ɲwet
㕯,泥合一魂入,nwot,n̙wət
㕯,孃合二山入,nrweat,ɳweˤt
㕰,曉二江入,xaewk,χoˤk
㖃,匣一侯上,huwX,ʁuʔ
㖃,曉一侯上,xuwX,χuʔ
㖃,曉一侯去,xuwH,χuh
㖅,心合三真入,swit,sjwit
㖏,泥開四先入,net,n̙et
㖑,曉開二皆去,xeajH,χeˤjh
㖒,定開四齊平,dej,d̙ej
㖘,章開三真平,tsyin,tɕin
㖟,常三尤去,dzyuwH,dʑuh
㖥,羣合三B真上,gwinX,ɡwɨ̯inʔ
㖩,精合三虞平,tsju,tsjo
㖪,曉合二耕入,xweak,χweˤk
㖷,常開三支平,dzye,dʑie
㗁,疑開一唐入,ngak,ɴɑk
㗉,來開三陽入,ljak,ljɑk
㗊,莊開三侵入,tsrip,tʂɨ̯ip
㗔,溪開三B仙平,khjen,kʰɨ̯en
㗕,見一侯平,kuw,qu
㗗,幫三B支上,pjeX,pɨ̯ieʔ
㗘,幫一唐入,pak,p̙ɑk
㗙,孃開二咸入,nreap,ɳeˤp
㗚,來開三真入,lit,lit
㗛,心開三宵去,sjewH,sjewh
㗢,匣一冬去,howngH,ʁoŋh
㗢,匣一冬平,howng,ʁoŋ
㗢,定一東去,duwngH,d̙uŋh
㗤,精三東入,tsjuwk,tsjuk
㗦,來開一豪平,law,l̙əw
㗧,知開三真入,trit,ʈit
㗧,端開四先入,tet,t̙et
㗨,曉開二佳平,xea,χeˤ
㗩,心開三侵入,sip,sip
㗫,清開四先入,tshet,t̙s̙ʰet
㗬,徹開二麻平,trhae,ʈʰaˤ
㗱,精開三侵入,tsip,tsip
㗲,匣合二耕入,hweak,ʁweˤk
㗴,疑開二山平,ngean,ɴeˤn
㗵,曉合三C文入,xjut,xɨ̯ut
㗻,匣合一歌平,hwa,ʁwɑ
㗻,見合一歌平,kwa,qwɑ
㗼,疑開三C嚴入,ngjaep,ŋɨ̯əp
㗾,曉合三C歌平,xjwa,xwɨ̯ɑ
㗿,曉開一歌上,xaX,χɑʔ
㗿,曉開二麻上,xaeX,χaˤʔ
㗿,曉開二麻去,xaeH,χaˤh
㘀,精合一唐入,tswak,t̙s̙wɑk
㘀,精開一唐入,tsak,t̙s̙ɑk
㘁,以開三清入,yek,jak
㘆,透開一咍上,thojX,t̙ʰəjʔ
㘈,疑開三C之去,ngiH,ŋɨh
㘈,疑開三C蒸入,ngik,ŋɨk
㘉,莊開三臻入,tsrit,tʂɨ̯it
㘋,匣開四先上,henX,ʁenʔ
㘋,匣開四先平,hen,ʁen
㘌,羣開三B庚入,gjaek,ɡɨ̯ak
㘓,來開一寒平,lan,l̙ɑn
㘙,疑開三B庚入,ngjaek,ŋɨ̯ak
㘝,孃開二咸入,nreap,ɳeˤp
㘝,孃開三侵入,nrip,ɳip
㘠,幫三B蒸入,pik,pɨk
㘣,邪合三仙平,zjwen,zjwen
㘣,曉合四先平,xwen,χwen
㘥,以三尤平,yuw,ju
㘨,泥開四添入,nep,n̙ep
㘰,章開三侵平,tsyim,tɕim
㘱,透開一談平,tham,t̙ʰɑm
㘲,見三C東入,kjuwk,kɨ̯uk
㘻,影開三A真平,'jin,ʔjin
㘿,泥開四先入,net,n̙et
㙀,來三尤去,ljuwH,ljuh
㙁,明三C東入,mjuwk,mɨ̯uk
㙃,幫二耕平,peang,p̙eˤŋ
㙄,並四齊上,bejX,b̙ejʔ
㙇,徹三鍾入,trhjowk,ʈʰjok
㙊,澄開三陽平,drjang,ɖjɑŋ
㙏,滂三C東入,phjuwk,pʰɨ̯uk
㙙,來三鍾上,ljowngX,ljoŋʔ
㙠,影開四齊去,'ejH,ʔ̙ejh
㙠,影開四齊平,'ej,ʔ̙ej
㙤,曉開二麻去,xaeH,χaˤh
㙨,羣開三C微平,gj+j,ɡɨj
㙩,來開三宵去,ljewH,ljewh
㙩,來開四蕭平,lew,l̙ew
㙪,影開三B脂去,'ijH,ʔɨ̯ih
㙪,影開四齊去,'ejH,ʔ̙ejh
㙱,匣開一豪去,hawH,ʁəwh
㙴,昌開三鹽去,tsyhemH,tɕʰemh
㙷,澄開三侵入,drip,ɖip
㙷,澄開三鹽入,drjep,ɖjep
㙻,澄開三仙平,drjen,ɖjen
㚀,曉開三B支平,xje,xɨ̯ie
㚁,溪開三B宵去,khjewH,kʰɨ̯ewh
㚂,泥開一唐去,nangH,n̙ɑŋh
㚃,影合三C文平,'jun,ʔɨ̯un
㚅,來三東平,ljuwng,ljuŋ
㚇,精一東去,tsuwngH,t̙s̙uŋh
㚇,精一東平,tsuwng,t̙s̙uŋ
㚊,溪開一咍平,khoj,qʰəj
㚋,端開四蕭平,tew,t̙ew
㚍,溪合一灰上,khwojX,qʰwəjʔ
㚒,書開三清入,syek,ɕak
㚒,書開三鹽上,syemX,ɕemʔ
㚔,孃開三鹽入,nrjep,ɳjep
㚖,見開一豪上,kawX,qəwʔ
㚖,昌開三清入,tsyhek,tɕʰak
㚗,從開三麻平,dzjae,dzja
㚘,並一寒上,banX,b̙ɑnʔ
㚛,曉開四先入,xet,χet
㚛,曉開四齊去,xejH,χejh
㚜,云合三B蒸入,hwik,wɨk
㚠,溪開三A宵平,khjiew,kʰjew
㚠,曉開四蕭平,xew,χew
㚢,泥一模平,nu,n̙o
㚤,以開三蒸入,yik,jɨk
㚫,心開一覃入,sop,s̙əp
㚲,昌開三鹽入,tsyhep,tɕʰep
㚲,昌開三鹽平,tsyhem,tɕʰem
㚷,孃開二佳上,nreaX,ɳeˤʔ
㛁,滂二耕平,pheang,p̙ʰeˤŋ
㛂,泥合一歌上,nwaX,n̙wɑʔ
㛂,疑合一歌上,ngwaX,ɴwɑʔ
㛄,影開三C微平,'j+j,ʔɨj
㛅,日開三之去,nyiH,ɲɨh
㛊,端合一歌去,twaH,t̙wɑh
㛍,溪開四添入,khep,qʰep
㛍,曉開三B鹽上,xjemX,xɨ̯emʔ
㛍,曉開四添入,xep,χep
㛐,心開一豪上,sawX,s̙əwʔ
㛑,清開一寒去,tshanH,t̙s̙ʰɑnh
㛒,定一侯去,duwH,d̙uh
㛗,心合一歌平,swa,s̙wɑ
㛗,清合一歌平,tshwa,t̙s̙ʰwɑ
㛘,滂一魂入,phwot,p̙ʰwət
㛥,透開一覃入,thop,t̙ʰəp
㛧,明一談上,mamX,m̙ɑmʔ
㛪,影開三C嚴去,'jaemH,ʔɨ̯əmh
㛮,心開一豪上,sawX,s̙əwʔ
㛱,影合一灰上,'wojX,ʔ̙wəjʔ
㛳,以開三祭去,yejH,jejh
㛳,章開三祭去,tsyejH,tɕejh
㛴,泥開一豪上,nawX,n̙əwʔ
㛶,透開一寒去,thanH,t̙ʰɑnh
㛹,並三A仙平,bjien,bjen
㛼,初開二咸入,tsrheap,tʂʰeˤp
㜅,曉三C東入,xjuwk,xɨ̯uk
㜇,影合三A支去,'jwieH,ʔjwieh
㜊,知開三仙上,trjenX,ʈjenʔ
㜌,溪一侯去,khuwH,qʰuh
㜎,匣開四齊平,hej,ʁej
㜓,端開一覃入,top,t̙əp
㜗,清開一覃入,tshop,t̙s̙ʰəp
㜗,清開一覃上,tshomX,t̙s̙ʰəmʔ
㜗,清開一覃平,tshom,t̙s̙ʰəm
㜘,精開三麻平,tsjae,tsja
㜝,匣開一覃上,homX,ʁəmʔ
㜝,疑開一覃上,ngomX,ɴəmʔ
㜢,來合三虞上,ljuX,ljoʔ
㜣,日開三仙平,nyen,ɲen
㜣,泥開四先去,nenH,n̙enh
㜣,書開三仙上,syenX,ɕenʔ
㜤,泥開四添上,nemX,n̙emʔ
㜤,書開三侵上,syimX,ɕimʔ
㜪,生開三臻平,srin,ʂɨ̯in
㜮,來開一談去,lamH,l̙ɑmh
㜰,以開三陽入,yak,jɑk
㜰,書開三陽入,syak,ɕɑk
㜲,以開三清平,yeng,jaŋ
㜳,匣合二皆平,hweaj,ʁweˤj
㜵,泥開四蕭上,newX,n̙ewʔ
㜷,明三A支平,mjie,mjie
㜸,疑開三B仙入,ngjet,ŋɨ̯et
㜺,從開一寒去,dzanH,d̙z̙ɑnh
㜺,精開一寒去,tsanH,t̙s̙ɑnh
㜽,精開三之上,tsiX,tsjɨʔ
㝂,章開三祭去,tsyejH,tɕejh
㝃,明三B仙上,mjenX,mɨ̯enʔ
㝃,明三C元上,mjonX,mɨ̯ənʔ
㝅,見一侯去,kuwH,quh
㝅,泥一侯上,nuwX,n̙uʔ
㝈,生合二刪去,srwaenH,ʂwaˤnh
㝈,生合三仙去,srjwenH,ʂwɨ̯enh
㝌,以三尤上,yuwX,juʔ
㝌,見三C尤去,kjuwH,kɨ̯uh
㝏,見開二皆去,keajH,qeˤjh
㝐,以三鍾平,yowng,joŋ
㝖,疑開三B支平,ngje,ŋɨ̯ie
㝗,來開一唐上,langX,l̙ɑŋʔ
㝗,來開一唐平,lang,l̙ɑŋ
㝞,影開二麻平,'ae,ʔ̙aˤ
㝢,云合三C虞上,hjuX,wɨ̯oʔ
㝣,影開四先入,'et,ʔ̙et
㝣,影開四齊去,'ejH,ʔ̙ejh
㝤,見一侯去,kuwH,quh
㝩,溪開一唐上,khangX,qʰɑŋʔ
㝩,溪開一唐平,khang,qʰɑŋ
㝪,端開四添入,tep,t̙ep
㝪,端開四添去,temH,t̙emh
㝯,羣開三B宵平,gjew,ɡɨ̯ew
㝰,明四先平,men,m̙en
㝱,明三C東去,mjuwngH,mɨ̯uŋh
㝸,並三B仙去,bjenH,bɨ̯enh
㝻,羣開三B真去,ginH,ɡɨ̯inh
㝼,影合三C虞平,'ju,ʔɨ̯o
㝾,精開一歌上,tsaX,t̙s̙ɑʔ
㝾,精開一歌去,tsaH,t̙s̙ɑh
㝿,幫一歌上,paX,p̙ɑʔ
㞁,以開三宵去,yewH,jewh
㞂,透合一灰上,thwojX,t̙ʰwəjʔ
㞄,影開一覃上,'omX,ʔ̙əmʔ
㞄,影開一覃平,'om,ʔ̙əm
㞆,見開三B支上,kjeX,kɨ̯ieʔ
㞆,溪開三B支去,khjeH,kʰɨ̯ieh
㞇,影合一灰上,'wojX,ʔ̙wəjʔ
㞋,日合三仙上,nywenX,ɲwenʔ
㞋,孃開三仙上,nrjenX,ɳjenʔ
㞏,澄開三侵入,drip,ɖip
㞒,曉開二皆去,xeajH,χeˤjh
㞓,溪開三A脂去,khjijH,kʰjih
㞙,泥開四蕭去,newH,n̙ewh
㞚,生開二銜入,sraep,ʂaˤp
㞚,初開三侵入,tsrhip,tʂʰɨ̯ip
㞚,莊開二咸入,tsreap,tʂeˤp
㞛,見開三B脂上,kijX,kɨ̯iʔ
㞜,透合一灰平,thwoj,t̙ʰwəj
㞟,定開四先去,denH,d̙enh
㞟,端開四青上,tengX,t̙eŋʔ
㞡,知開三仙上,trjenX,ʈjenʔ
㞢,章開三之平,tsyi,tɕɨ
㞣,並三C文平,bjun,bɨ̯un
㞣,滂三C文平,phjun,pʰɨ̯un
㞥,崇開三侵平,dzrim,dʐɨ̯im
㞦,見開三B脂上,kijX,kɨ̯iʔ
㞷,羣合三C陽平,gjwang,ɡwɨ̯ɑŋ
㞽,曉合三C元入,xjwot,xwɨ̯ət
㟅,來一東平,luwng,l̙uŋ
㟅,疑一東平,nguwng,ɴuŋ
㟅,疑二江平,ngaewng,ɴoˤŋ
㟉,來開一豪平,law,l̙əw
㟋,定合一泰去,dwajH,d̙wɑjh
㟌,明二江平,maewng,m̙oˤŋ
㟍,來開一唐平,lang,l̙ɑŋ
㟎,透合一灰上,thwojX,t̙ʰwəjʔ
㟎,透合一歌上,thwaX,t̙ʰwɑʔ
㟏,曉開一覃平,xom,χəm
㟐,明一唐上,mangX,m̙ɑŋʔ
㟐,明一唐去,mangH,m̙ɑŋh
㟛,從開一談上,dzamX,d̙z̙ɑmʔ
㟞,崇開二山上,dzreanX,dʐeˤnʔ
㟳,來開三真入,lit,lit
㟸,見開一豪平,kaw,qəw
㟽,幫三A宵上,pjiewX,pjewʔ
㟾,以三鍾平,yowng,joŋ
㠆,端開一寒平,tan,t̙ɑn
㠇,從三尤去,dzjuwH,dzjuh
㠊,溪開三C魚平,khjo,kʰɨ̯ə
㠍,精開三侵入,tsip,tsip
㠑,從合一灰上,dzwojX,d̙z̙wəjʔ
㠑,從合三脂上,dzwijX,dzjwiʔ
㠒,幫三A宵平,pjiew,pjew
㠔,幫二佳去,peaH,p̙eˤh
㠖,疑開三B支上,ngjeX,ŋɨ̯ieʔ
㠛,影合二庚入,'waek,ʔ̙waˤk
㠠,來開三魚平,ljo,ljə
㠢,匣合二皆平,hweaj,ʁweˤj
㠥,來合三脂平,lwij,ljwi
㠦,滂三C東平,phjuwng,pʰɨ̯uŋ
㠭,知開三仙上,trjenX,ʈjenʔ
㠯,以開三之上,yiX,jɨʔ
㠴,日開三真入,nyit,ɲit
㠵,曉合一唐平,xwang,χwɑŋ
㠷,見開一覃入,kop,qəp
㠸,幫三C虞平,pju,pɨ̯o
㠹,見開二皆去,keajH,qeˤjh
㠺,明三A宵平,mjiew,mjew
㠽,定一冬平,downg,d̙oŋ
㠾,影合三C元平,'jwon,ʔwɨ̯ən
㠿,精開三支平,tsje,tsie
㡀,並三A祭去,bjiejH,bjejh
㡁,溪合二麻上,khwaeX,qʰwaˤʔ
㡅,泥開一歌上,naX,n̙ɑʔ
㡆,曉合一唐平,xwang,χwɑŋ
㡇,知開三鹽入,trjep,ʈjep
㡇,透開四添入,thep,t̙ʰep
㡇,端開四添平,tem,t̙em
㡉,見開四先平,ken,qen
㡊,溪開二咸入,kheap,qʰeˤp
㡋,影開三C嚴入,'jaep,ʔɨ̯əp
㡏,生合三虞去,srjuH,ʂɨ̯oh
㡏,生合三虞平,srju,ʂɨ̯o
㡑,清開三宵平,tshjew,tsʰjew
㡑,精開四蕭上,tsewX,t̙s̙ewʔ
㡒,定合一魂上,dwonX,d̙wənʔ
㡒,知合三真平,trwin,ʈjwin
㡒,澄合三真平,drwin,ɖjwin
㡓,見合一魂平,kwon,qwən
㡔,明一東入,muwk,m̙uk
㡔,明一模平,mu,m̙o
㡔,明三C虞去,mjuH,mɨ̯oh
㡗,定開四齊平,dej,d̙ej
㡗,曉開四齊平,xej,χej
㡘,來開三鹽平,ljem,ljem
㡙,幫四齊平,pej,p̙ej
㡜,心合三仙入,sjwet,sjwet
㡜,心開三仙入,sjet,sjet
㡜,生開三祭去,srjejH,ʂɨ̯ejh
㡝,並三C鍾去,bjowngH,bɨ̯oŋh
